,id,Hcr,SIRM,IRM_50mT,IRM_80mT,IRM_m80mT,IRM_100mT,IRM_300mT,max_d2
0,2022cb0101,0.005865989936450315,1.0228624708048837e-05,6.448911995525047e-06,8.143377344974472e-06,-8.278146114856669e-06,8.819251441636285e-06,1.0110247071044364e-05,596.6543637682844
1,2022cb0103,0.004167719997144184,7.848765463367555e-06,4.672135290145139e-06,5.954848032976518e-06,-5.692874343297881e-06,6.440738210659117e-06,7.568288550656592e-06,2211.4004813342726
2,2022eg0102,0.014529693963798372,2.048944288983043e-05,1.2401680615575975e-05,1.5779701022477693e-05,-1.5928284949497406e-05,1.7025613529996634e-05,1.9979281771924457e-05,1510.5021023575518
3,2022eg0103,0.013778180837024796,1.7812516072038695e-05,1.0860791058576512e-05,1.3549875691072566e-05,-1.3153044983723095e-05,1.461219390541293e-05,1.771930364792447e-05,4880.406051774358
4,2022eg0103,0.010033957492848859,1.769389867770985e-05,1.0290582323037431e-05,1.2967827739483992e-05,-1.4777927982920752e-05,1.4529504014427536e-05,1.714973102842839e-05,2495.813553281472
5,2022eg0203,0.007960272620161687,1.806547804645093e-05,1.1382410852256845e-05,1.3824943134862614e-05,-1.4552294176823278e-05,1.4850097054759547e-05,1.7300909606406832e-05,3966.519908975536
6,2023pr01_bed_sediment,0.012769753475832151,7.792357845879382e-06,4.483151912198834e-06,5.8978587959245174e-06,-6.102203817662955e-06,6.445099920676167e-06,7.703191719808937e-06,574.895711400839
7,2023pr01_suspended_silt,0.035330356265365334,8.01041100000125e-07,4.0931944610980037e-07,5.864812862144587e-07,-5.002057975949986e-07,6.530585655056167e-07,7.883952978091715e-07,857.0455040339702
8,2023pr02_bed_sediment,0.028593741765242334,1.241569974883033e-05,6.751574377397912e-06,9.258542750464453e-06,-8.438245172496298e-06,1.0184893077465751e-05,1.2139510100623835e-05,597.6771968315161
9,combay01,0.0003047152136286719,8.56433002762171e-06,5.154039572795667e-06,6.564265565515715e-06,-6.56086650659191e-06,6.963480774904123e-06,8.364687935086975e-06,1113.1017679227589
10,combay01,0.0033427219038660136,3.0529935660364597e-06,1.1588316763369674e-06,1.6254125839810223e-06,-1.4056562092025502e-06,1.695955172850424e-06,2.2112490383205002e-06,13521.932179767635
