file	subsample	sample	site	season	year	sample_type	grain_size	mass
2022CB0101.irmdcd	2022-cb-01-01	2022-cb-01	2022-cb-01	na	2022			
2022CB0103.irmdcd	2022-cb-01-03	2022-cb-01	2022-cb-01	na	2022			
2022EG0102.irmdcd								
2022EG0103-2.irmdcd								
2022EG0103.irmdcd								
2022eg0203.irmdcd								
2023PR01_bed_sediment.irmdcd								
2023PR01_suspended_silt.irmdcd								
2023PR02_bed_sediment.irmdcd								
2024-cr-20b.irmdcd								
2024-mm-01-01.irmdcd								
2024-mm-02-01.irmdcd								
2024-pr-10.irmdcd								
2024-pr-11.irmdcd								
2024-pr-20c.irmdcd								
2024-pr-21.irmdcd								
2024-pr-23.dcd								
2024-sp-01.dcd								
2024-sp-11.irmdcd								
2024-sp-21.dcd								
2024-wr-02.irmdcd								
2024-wr-10.irmdcd								
2024-wr-11.irmdcd								
2024-wr-20c.irmdcd								
2024-wr-21.irmdcd								
2025-cg-01.irmdcd								
2025-cg-03.irmdcd								
2025-cg-04-01.irmdcd								
2025-gp-01a-01.irmdcd								
2025-gp-01b-01.irmdcd								
2025-mm-10a-2.irmdcd								
2025-mm-11a1.irmdcd								
2025-pd-01-1.irmdcd								
2025-pd-02B-1.irmdcd								
2025-pr-02.dcd								
2025-pr-04.dcd								
2025-pr-12.dcd								
2025-pr-22c.dcd								
Combay01-2.irmdcd								
Combay01.irmdcd								
